0.51809,0.91055,0.33103,1.0526,-0.60659,-2.5349,-35.012,0,-20.214,-0.00038806,0.00067833,-0.00078504,-5.5497e-05,0.0006374,0.00019109
0.52958,0.83558,0.31399,1.0853,-0.60795,-2.5703,-31.608,0,-25.206,-0.00023078,0.00061764,-0.00094874,-5.9551e-05,0.00070924,0.00023929
0.54408,0.75563,0.30419,1.1111,-0.61578,-2.5964,-27.498,0,-29.636,-0.00018119,0.00057214,-0.0010549,-8.8662e-05,0.00077854,0.00016858
0.56166,0.67276,0.30076,1.1308,-0.6294,-2.6142,-22.774,0,-33.403,-6.3909e-05,0.00053918,-0.0011598,-0.00010697,0.00082037,0.00016555
0.58234,0.58888,0.30313,1.1452,-0.64832,-2.6245,-17.541,0,-36.424,4.8438e-05,0.00046322,-0.0012438,-0.00011563,0.00089452,0.00013329
0.60613,0.50571,0.311,1.1551,-0.67223,-2.6279,-11.916,0,-38.632,0.00021314,0.0003786,-0.0013046,-7.1763e-05,0.00096107,0.00018474
0.63291,0.4249,0.32434,1.161,-0.70089,-2.6247,-6.0255,0,-39.976,0.0003135,0.00028774,-0.0012921,-8.2704e-05,0.00096501,0.00016802
0.6625,0.34806,0.34333,1.1634,-0.73409,-2.6151,0,0,-40.428,0.00039948,0.00019947,-0.0012957,-4.5482e-05,0.00096679,7.7346e-05
0.69451,0.27683,0.36837,1.1628,-0.77156,-2.5989,6.0255,0,-39.976,0.00048291,9.5437e-05,-0.0012769,-1.7684e-05,0.0010375,9.4573e-06
0.72838,0.21298,0.39997,1.1592,-0.81296,-2.5758,11.916,0,-38.632,0.00053246,-9.0281e-06,-0.0011934,-3.8772e-06,0.00095354,-3.2149e-05
0.76332,0.15838,0.4388,1.1529,-0.85781,-2.5452,17.541,0,-36.424,0.00060682,-7.8077e-05,-0.0010935,3.4338e-05,0.00089596,-2.384e-05
0.79828,0.11505,0.4855,1.144,-0.90551,-2.5066,22.774,0,-33.403,0.00065985,-0.0001312,-0.0010166,3.8427e-05,0.00083482,-5.9007e-05
0.83204,0.08517,0.54071,1.1324,-0.95537,-2.4595,27.498,0,-29.636,0.00065595,-0.00018403,-0.00083103,8.4161e-05,0.00074933,-9.8482e-05
0.8632,0.07092,0.60485,1.1181,-1.0067,-2.4035,31.608,0,-25.206,0.00066878,-0.00018819,-0.00071013,0.00010373,0.0006584,-9.0632e-05
0.89034,0.074357,0.67794,1.101,-1.0587,-2.3385,35.012,0,-20.214,0.00063324,-0.00021237,-0.00063242,0.00010349,0.00054513,-0.00011234
0.93248,0.0058503,0.63782,1.1548,-1.0716,-2.3963,38.18,0,-22.043,0.00071773,-0.00023627,-0.00067997,5.0013e-05,0.0006237,-0.00012047
0.89947,0.0047099,0.5557,1.1739,-1.014,-2.4711,34.468,0,-27.487,0.00072889,-0.00020574,-0.00080106,7.9528e-05,0.00075281,-0.00019391
0.86179,0.02422,0.48471,1.1906,-0.95687,-2.535,29.986,0,-32.318,0.00080512,-0.00016627,-0.00092029,9.1488e-05,0.00088173,-8.1136e-05
